t,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,walltime
0.0001,0.483104,0.511671,0.528659,0.425019,0.568302,0.473045,0.459018,0.510793,0.453619,0.543453,0.481545,0.470274,0.531574,0.491982,0.624392,0.459951,0.507806,0.511871,0.446694,0.463618,0.449999,0.471725,0.47044,0.561225,0.506723,5.38297,0.51407,0.519611,0.616768,0.543101,0.496829,0.488071,0.482848,0.469712,0.478525,0.388067,0.468612,0.562579,0.445958,0.489556,0.420955,0.500002,0.462073,0.49794,0.516632,0.493616,0.515604,0.563614,0.470364,0.411611,0.00541592
0.0002,0.484313,0.509575,0.530415,0.42442,0.56803,0.472703,0.45957,0.510696,0.454632,0.542782,0.481985,0.471255,0.5314,0.491831,0.625252,0.459723,0.507297,0.511619,0.446992,0.463741,0.450903,0.47133,0.470266,0.561946,0.512441,5.37361,0.518678,0.520124,0.616337,0.543608,0.495956,0.487889,0.483427,0.469686,0.47877,0.38729,0.46821,0.564055,0.445559,0.489539,0.422003,0.500667,0.46201,0.497675,0.515224,0.495447,0.515603,0.562987,0.470604,0.411896,0.00520802
0.0003,0.485526,0.507481,0.532135,0.423887,0.567695,0.472395,0.460125,0.51056,0.455687,0.542077,0.48246,0.47223,0.53122,0.491687,0.626067,0.45954,0.506765,0.511393,0.447263,0.46388,0.451819,0.470917,0.470121,0.562644,0.519126,5.36233,0.524206,0.520674,0.615895,0.544093,0.495118,0.487691,0.484009,0.469662,0.479008,0.386529,0.467828,0.565477,0.445187,0.489507,0.423086,0.501301,0.461954,0.497426,0.513796,0.497278,0.515621,0.562338,0.470838,0.412197,0.00517797
0.0004,0.486744,0.505392,0.533817,0.423421,0.567297,0.472122,0.460684,0.510386,0.456782,0.54134,0.482969,0.4732,0.531033,0.49155,0.626837,0.459401,0.506209,0.511192,0.447507,0.464035,0.452747,0.470484,0.470006,0.56332,0.526771,5.34915,0.530649,0.521262,0.615443,0.544555,0.494313,0.487476,0.484593,0.46964,0.479238,0.385787,0.467466,0.566845,0.444843,0.489459,0.424202,0.501903,0.461907,0.497191,0.512349,0.499106,0.515659,0.561668,0.471066,0.412513,0.00523186
0.0005,0.487965,0.503309,0.53546,0.423022,0.566837,0.471883,0.461244,0.510176,0.457916,0.540571,0.483512,0.474163,0.53084,0.491421,0.627563,0.459306,0.50563,0.511017,0.447724,0.464208,0.453684,0.470035,0.46992,0.563975,0.535368,5.33408,0.538001,0.52189,0.614981,0.544993,0.493543,0.487245,0.485179,0.469622,0.479461,0.385062,0.467126,0.568158,0.444528,0.489396,0.42535,0.502475,0.461867,0.49697,0.510887,0.500931,0.515717,0.560978,0.471287,0.412845,0.00519395
0.0006,0.489189,0.501234,0.537064,0.42269,0.566314,0.471678,0.461806,0.50993,0.459087,0.539773,0.484089,0.475119,0.53064,0.491298,0.628244,0.459256,0.505026,0.510868,0.447913,0.4644,0.454631,0.469568,0.469863,0.564614,0.544907,5.31713,0.546251,0.522559,0.614511,0.545408,0.492808,0.486997,0.485765,0.469608,0.479675,0.384356,0.466807,0.569414,0.444243,0.489318,0.426531,0.503015,0.461835,0.496764,0.509409,0.502751,0.515795,0.560269,0.471501,0.413192,0.00517702
0.0007,0.490415,0.499168,0.538626,0.422425,0.56573,0.471508,0.462368,0.509649,0.460295,0.538946,0.4847,0.476068,0.530435,0.491184,0.628881,0.459249,0.504399,0.510744,0.448073,0.464609,0.455586,0.469085,0.469834,0.565238,0.555379,5.29832,0.555393,0.52327,0.614032,0.545798,0.492108,0.486733,0.486352,0.469597,0.47988,0.383668,0.46651,0.570613,0.443986,0.489226,0.427743,0.503525,0.461811,0.496571,0.507917,0.504565,0.515892,0.55954,0.471709,0.413555,0.00520802
0.0008,0.491642,0.497113,0.540147,0.422227,0.565084,0.471373,0.462929,0.509336,0.461536,0.538091,0.485344,0.477008,0.530224,0.491077,0.629472,0.459287,0.503748,0.510647,0.448206,0.464838,0.456549,0.468587,0.469833,0.565851,0.566771,5.27765,0.565415,0.524027,0.613546,0.546163,0.491443,0.486455,0.486939,0.46959,0.480076,0.382999,0.466235,0.571753,0.44376,0.48912,0.428985,0.504005,0.461794,0.49639,0.506413,0.506371,0.51601,0.558792,0.47191,0.413933,0.00518489
0.0009,0.492869,0.49507,0.541624,0.422096,0.564376,0.471272,0.46349,0.508992,0.462811,0.537211,0.48602,0.47794,0.530007,0.490978,0.630019,0.459368,0.503075,0.510575,0.44831,0.465086,0.457518,0.468075,0.46986,0.566456,0.579071,5.25516,0.576306,0.524831,0.613052,0.546502,0.490814,0.486161,0.487525,0.469589,0.480262,0.38235,0.465984,0.572834,0.443563,0.489001,0.430257,0.504455,0.461786,0.496223,0.504899,0.508167,0.516148,0.558027,0.472103,0.414326,0.00524998
0.001,0.494096,0.493041,0.543058,0.422032,0.563608,0.471207,0.464048,0.508617,0.464116,0.536306,0.48673,0.478864,0.529786,0.490888,0.63052,0.459492,0.502378,0.510529,0.448386,0.465354,0.458493,0.467549,0.469914,0.567057,0.592267,5.23085,0.588054,0.525684,0.612552,0.546816,0.49022,0.485852,0.488109,0.469592,0.480438,0.38172,0.465755,0.573855,0.443397,0.488869,0.431557,0.504876,0.461785,0.496068,0.503375,0.509954,0.516306,0.557244,0.472289,0.414734,0.005373
0.0011,0.495321,0.491027,0.544446,0.422035,0.56278,0.471176,0.464604,0.508213,0.465451,0.535377,0.487471,0.479778,0.529559,0.490806,0.630977,0.459658,0.501659,0.51051,0.448433,0.465643,0.459472,0.46701,0.469996,0.567658,0.606342,5.20475,0.600646,0.52659,0.612046,0.547103,0.489663,0.48553,0.488691,0.469601,0.480603,0.38111,0.465551,0.574816,0.443262,0.488725,0.432885,0.505268,0.461792,0.495924,0.501843,0.511728,0.516483,0.556444,0.472468,0.415157,0.0052011
0.0012,0.496545,0.489029,0.54579,0.422104,0.561893,0.47118,0.465157,0.507781,0.466813,0.534426,0.488244,0.480683,0.529327,0.490732,0.631389,0.459867,0.500917,0.510516,0.448452,0.465952,0.460455,0.466459,0.470104,0.568262,0.621282,5.17689,0.614067,0.527551,0.611536,0.547363,0.489141,0.485193,0.48927,0.469616,0.480758,0.380521,0.465371,0.575715,0.443158,0.48857,0.43424,0.505632,0.461806,0.495792,0.500305,0.513489,0.516681,0.555629,0.472639,0.415595,0.00517201
0.0013,0.497766,0.48705,0.547086,0.42224,0.560948,0.471219,0.465705,0.507324,0.468201,0.533455,0.489049,0.481578,0.52909,0.490667,0.631757,0.460118,0.500154,0.510548,0.448442,0.466282,0.46144,0.465897,0.470238,0.568875,0.63707,5.14727,0.628302,0.52857,0.61102,0.547597,0.488655,0.484844,0.489846,0.469638,0.480901,0.379952,0.465215,0.576552,0.443086,0.488403,0.435619,0.505968,0.461828,0.495671,0.498763,0.515236,0.516898,0.554798,0.472803,0.416047,0.00517297
0.0014,0.498984,0.485091,0.548336,0.422441,0.559945,0.471292,0.466248,0.506842,0.469614,0.532466,0.489884,0.482463,0.528848,0.490612,0.63208,0.460411,0.49937,0.510605,0.448404,0.466634,0.462428,0.465325,0.470399,0.5695,0.653687,5.11594,0.643334,0.529652,0.610501,0.547803,0.488205,0.484482,0.490417,0.469666,0.481032,0.379404,0.465084,0.577326,0.443044,0.488226,0.437024,0.506277,0.461858,0.495561,0.497216,0.516967,0.517135,0.553953,0.472958,0.416515,0.00522304
0.0015,0.500197,0.483152,0.549539,0.422707,0.558885,0.471399,0.466785,0.506337,0.471048,0.531458,0.490749,0.483337,0.528602,0.490566,0.632359,0.460744,0.498565,0.510687,0.448337,0.467007,0.463416,0.464744,0.470586,0.570143,0.671116,5.08292,0.659148,0.530798,0.609978,0.547982,0.48779,0.484108,0.490984,0.469701,0.481152,0.378878,0.464978,0.578037,0.443034,0.488039,0.438451,0.506559,0.461895,0.49546,0.495668,0.518681,0.517391,0.553094,0.473105,0.416996,0.00523686
0.0016,0.501406,0.481235,0.550693,0.423038,0.55777,0.47154,0.467316,0.50581,0.472504,0.530435,0.491643,0.4842,0.528351,0.490529,0.632593,0.461117,0.49774,0.510794,0.448243,0.467403,0.464404,0.464154,0.470798,0.570809,0.689336,5.04824,0.675723,0.532014,0.609452,0.548133,0.487411,0.483723,0.491545,0.469743,0.481259,0.378373,0.464897,0.578685,0.443055,0.487844,0.439901,0.506816,0.461939,0.49537,0.494119,0.520378,0.517666,0.552222,0.473244,0.417493,0.00522494
0.0017,0.502609,0.479342,0.551798,0.423432,0.5566,0.471714,0.46784,0.505263,0.473977,0.529398,0.492567,0.485052,0.528096,0.490502,0.632784,0.46153,0.496895,0.510926,0.44812,0.46782,0.465391,0.463556,0.471035,0.571503,0.708327,5.01192,0.693042,0.533302,0.608925,0.548257,0.487067,0.483326,0.4921,0.469793,0.481353,0.37789,0.464842,0.579268,0.443108,0.48764,0.441372,0.507047,0.46199,0.495288,0.492571,0.522055,0.51796,0.551337,0.473375,0.418003,0.00527906
0.0018,0.503806,0.477474,0.552854,0.42389,0.555377,0.471921,0.468356,0.504698,0.475467,0.528348,0.493518,0.485893,0.527836,0.490485,0.63293,0.461981,0.496031,0.511081,0.447971,0.468261,0.466377,0.462952,0.471297,0.57223,0.728068,4.974,0.711084,0.534667,0.608396,0.548352,0.486759,0.48292,0.492649,0.469851,0.481434,0.377429,0.464811,0.579787,0.443192,0.487428,0.442863,0.507254,0.462047,0.495216,0.491025,0.523711,0.518272,0.550441,0.473497,0.418528,0.00520802
0.0019,0.504995,0.475632,0.55386,0.42441,0.554101,0.472161,0.468863,0.504116,0.476973,0.527287,0.494497,0.486722,0.527573,0.490478,0.633033,0.462471,0.49515,0.51126,0.447794,0.468723,0.46736,0.462343,0.471584,0.572996,0.748536,4.93451,0.729828,0.536113,0.607866,0.54842,0.486485,0.482504,0.49319,0.469917,0.481502,0.376991,0.464807,0.580242,0.443308,0.48721,0.444372,0.507436,0.462112,0.495152,0.489483,0.525346,0.518603,0.549535,0.473611,0.419067,0.00519395
0.002,0.506177,0.473818,0.554817,0.424992,0.552775,0.472433,0.469361,0.503518,0.47849,0.526216,0.495503,0.487539,0.527305,0.490482,0.633093,0.462999,0.49425,0.511462,0.44759,0.469209,0.468339,0.461728,0.471895,0.573807,0.769707,4.89349,0.749253,0.537645,0.607336,0.54846,0.486245,0.482079,0.493723,0.469992,0.481557,0.376575,0.464828,0.580631,0.443455,0.486985,0.445899,0.507596,0.462183,0.495095,0.487945,0.526958,0.518952,0.548618,0.473715,0.419619,0.00523615
0.0021,0.507351,0.472032,0.555723,0.425635,0.551399,0.472737,0.469849,0.502906,0.480019,0.525138,0.496535,0.488345,0.527033,0.490496,0.633109,0.463562,0.493334,0.511687,0.44736,0.469717,0.469314,0.461109,0.472231,0.574669,0.791558,4.85097,0.769337,0.539266,0.606807,0.548472,0.48604,0.481647,0.494247,0.470076,0.481598,0.376183,0.464875,0.580956,0.443633,0.486755,0.447441,0.507734,0.46226,0.495047,0.486414,0.528547,0.519319,0.547692,0.473811,0.420185,0.005198
