t,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,walltime
0.0001,0.486852,0.502622,0.487344,0.526967,0.482407,0.488949,0.505922,0.536401,0.454776,0.491679,0.470009,0.523109,0.47022,0.567911,0.521769,0.498846,0.485125,0.485715,0.536112,0.549158,0.493335,0.529034,0.506998,0.461239,0.480227,5.44573,0.519787,0.506573,0.510554,0.528304,0.505184,0.490688,0.491191,0.476529,0.519533,0.491313,0.496475,0.514851,0.475271,0.490321,0.497966,0.508629,0.475426,0.529256,0.533901,0.505445,0.489557,0.518512,0.501213,0.453284,0.0204551
0.0002,0.486657,0.502416,0.487914,0.527009,0.482251,0.489824,0.505657,0.536349,0.454782,0.491846,0.470134,0.523778,0.469136,0.568585,0.522026,0.499002,0.484815,0.48607,0.53627,0.548938,0.494018,0.528633,0.507437,0.461085,0.481779,5.44447,0.521103,0.506444,0.510891,0.528339,0.505276,0.490876,0.49103,0.476622,0.519214,0.492231,0.496137,0.515018,0.475336,0.490966,0.497143,0.509325,0.475422,0.529055,0.535033,0.504877,0.489843,0.518327,0.501413,0.453351,0.020257
0.0003,0.486471,0.502196,0.4885,0.527025,0.48211,0.490707,0.505389,0.536278,0.454805,0.492007,0.470276,0.52442,0.468089,0.569214,0.522309,0.499147,0.484509,0.486438,0.53642,0.548698,0.494728,0.528215,0.507869,0.46095,0.48432,5.44123,0.523406,0.506325,0.511223,0.528368,0.505364,0.491069,0.490876,0.476727,0.518879,0.493149,0.495801,0.515176,0.475416,0.491609,0.496325,0.510002,0.475443,0.528847,0.53616,0.504306,0.49014,0.518131,0.501607,0.453427,0.020412
0.0004,0.486292,0.501962,0.489101,0.527016,0.481986,0.491597,0.505119,0.536188,0.454845,0.492163,0.470436,0.525034,0.467081,0.569799,0.522618,0.499279,0.484209,0.48682,0.536561,0.548437,0.495466,0.527782,0.508295,0.460834,0.487847,5.436,0.526696,0.506217,0.511548,0.52839,0.505447,0.491266,0.490729,0.476842,0.518528,0.494067,0.495467,0.515325,0.47551,0.492249,0.495512,0.510659,0.475486,0.528632,0.53728,0.503734,0.49045,0.517923,0.501797,0.453513,0.0202811
0.0005,0.486122,0.501715,0.489718,0.526983,0.481877,0.492495,0.504845,0.536079,0.454901,0.492313,0.470614,0.525619,0.466111,0.570339,0.522952,0.499399,0.483914,0.487215,0.536694,0.548156,0.496231,0.527333,0.508714,0.460738,0.492359,5.42879,0.530969,0.506121,0.511868,0.528407,0.505526,0.491468,0.490589,0.476968,0.518161,0.494983,0.495134,0.515464,0.475617,0.492886,0.494705,0.511295,0.475553,0.52841,0.538393,0.503161,0.49077,0.517703,0.501981,0.453609,0.0203462
0.0006,0.485959,0.501455,0.490348,0.526925,0.481785,0.493399,0.504568,0.53595,0.454973,0.492459,0.470808,0.526176,0.465181,0.570833,0.523313,0.499507,0.483624,0.487622,0.536818,0.547856,0.497023,0.526869,0.509127,0.460663,0.49785,5.41961,0.53622,0.506038,0.51218,0.528417,0.5056,0.491674,0.490457,0.477104,0.517781,0.495898,0.494805,0.515595,0.475739,0.49352,0.493905,0.511911,0.475644,0.528182,0.539498,0.502588,0.491101,0.517473,0.502159,0.453715,0.0202911
0.0007,0.485805,0.501183,0.490992,0.526843,0.481707,0.49431,0.504289,0.535802,0.455062,0.492601,0.471019,0.526704,0.464291,0.571282,0.5237,0.499604,0.483341,0.488042,0.536934,0.547536,0.497841,0.52639,0.509534,0.460609,0.504316,5.40846,0.542444,0.50597,0.512487,0.528422,0.50567,0.491883,0.490333,0.47725,0.517387,0.49681,0.494479,0.515716,0.475874,0.494151,0.493112,0.512504,0.475759,0.527949,0.540595,0.502015,0.491443,0.517233,0.502332,0.453831,0.020299
0.0008,0.485658,0.500898,0.491648,0.526739,0.481646,0.495228,0.504007,0.535636,0.455167,0.492738,0.471246,0.527203,0.463442,0.571684,0.524112,0.499688,0.483064,0.488474,0.537042,0.547197,0.498684,0.525896,0.509934,0.460579,0.51175,5.39536,0.549633,0.50592,0.512786,0.52842,0.505736,0.492095,0.490216,0.477406,0.51698,0.497717,0.494157,0.515828,0.476024,0.494777,0.492328,0.513076,0.475898,0.527709,0.541682,0.501442,0.491795,0.516984,0.502498,0.453956,0.020288
0.0009,0.485519,0.500602,0.492316,0.526612,0.481599,0.496153,0.503723,0.535451,0.455287,0.492871,0.47149,0.527673,0.462634,0.57204,0.52455,0.49976,0.482793,0.488918,0.537142,0.54684,0.499553,0.525388,0.510328,0.460574,0.520146,5.38032,0.55778,0.50589,0.513078,0.528412,0.505798,0.492311,0.490109,0.477571,0.51656,0.49862,0.49384,0.515931,0.476187,0.495398,0.491552,0.513625,0.47606,0.527465,0.54276,0.500871,0.492156,0.516725,0.502658,0.454091,0.0203998
0.001,0.485388,0.500295,0.492995,0.526464,0.481568,0.497083,0.503435,0.535247,0.455423,0.493001,0.471749,0.528113,0.461869,0.572349,0.525014,0.499821,0.482529,0.489374,0.537234,0.546465,0.500446,0.524867,0.510715,0.460596,0.529494,5.36335,0.566875,0.505882,0.513362,0.528399,0.505857,0.492529,0.490009,0.477745,0.51613,0.499517,0.493529,0.516024,0.476364,0.496015,0.490787,0.514152,0.476248,0.527215,0.543828,0.500301,0.492526,0.516458,0.50281,0.454237,0.020715
